"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","28,359,600,000",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","28,291,200,000",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,838,800,000",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","68,400,000",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","28,014,800,000",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,947,200,000",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,484,600,000",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","67,600,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,242,900,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,173,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","26,738,300,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","69,900,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,224,300,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,154,900,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","26,821,400,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","69,400,000",""
